"project_name","scope","credits_issued"
"Esendurak HPP Turkey","Renewables",NA
"China Resources Yanggao Changcheng 49.5MW Wind Power Project","Renewables",NA
"Alabalik I-II HEPP","Renewables",NA
"Social Education and Development Society (SEDS) Biogas CDM project for the rural poor","Supply Chain","108583"
"Dissemination of fuel efficient biomass stoves and water purification systems in Tanzania","Supply Chain","194902"
"Canela Wind Farm Project","Renewables",NA
"Balikesir Susurluk 45 MW Wind Farm Project","Renewables","447368"
"Improved Cook Stoves CDM project of JSMBT","Supply Chain","153547"
"Improved Cook Stoves CDM project of SAMUHA","Supply Chain",NA
"Sirakonaklar HEPP","Renewables",NA
"Maren Geothermal Power Plant","Renewables",NA
"Auchan China PEMS Retrofit Energy Efficiency Project","Supply Chain",NA
"Merekler HEPP","Renewables",NA
"TBEC Tha Chang Biogas Project PreCDMVER","Supply Chain",NA
"Univanich Lamthap POME Biogas Project PreCDMVER","Supply Chain","29764"
"Biogas utilization project in Zhejiang Jingxing Paper Joint Stock Co. Ltd.. (300660)","Supply Chain","37246"
"Adasu Regulator Hydro Power Plant","Renewables",NA
"Sekiyaka  HPP Small Scale Hydro Power Project Turkey","Renewables",NA
"Cataloluk HEPP","Renewables","82944"
"Yagmur HPP Small Scale Hydro Power Project Turkey","Renewables",NA
"Demirciler HPP Small Scale Hydro Power Project","Renewables",NA
"Kavakçali Small Scale Hydro Power Project Turkey","Renewables",NA
"TBEC LIG Biogas Project","Supply Chain",NA
"Energy Efficient Cook Stoves for Siaya Communities Kenya","Supply Chain","1201664"
"Improved cook-stoves in Guinea","Supply Chain","11779"
"Aberdares Improved Cook Stoves","Supply Chain","101776"
"TUZKOY HEPP","Renewables",NA
"Sustainable Deployment of the LifeStraw Family in rural Kenya","Supply Chain","4476205"
"DARCA HEPP","Renewables","43160"
"7.05 MW KUTAY HEPP","Renewables",NA
"8.6 MW RIZA HEPP","Renewables",NA
"Posof III HEPP","Renewables",NA
"Gelinkaya  HPP Small Scale Hydro Power Project Turkey","Renewables",NA
"Sah Wind Power Plant","Renewables","1707333"
"Canakkale WPP","Renewables","339977"
"Energy from Coffee Wastewater at Beneficio El Carmen CISA","Supply Chain",NA
"BUKOR II Hepp","Renewables",NA
"Solar Lighting in Rural Areas PoA","Renewables",NA
"Efficient Wood Fuel Stove-Cooking-Sets Lesotho","Supply Chain","254272"
"The Breathing Space Improved Cooking Stoves Programme India","Supply Chain",NA
"Cakirlar Run-off-River Hydro Power Plant","Renewables","95664"
"GS1205 Sustainable Energy for Development PoA VPA 1: Improved Cook Stove project in Longjie Guizhou","Supply Chain","10985"
"Solar Lighting in Rural Ethiopia - VPA 1","Renewables","51159"
"Madranbaba 19.5 MW Wind Power Project Turkey","Renewables",NA
"Kakuma Sustainable Energy Solutions","Supply Chain",NA
"Yamac HEPP","Renewables",NA
"Karasu 1 HPP 3.8 MWe Small Scale Run-of River Power Project Turkey","Renewables",NA
"Karasu 4.2 HPP 9.6 MWe Small Scale Run-of River Power Project Turkey","Renewables",NA
"Karasu 4.3-5 HPP 7.14 MWe Small Scale Run-of River Power Project Turkey","Renewables",NA
"Miaoli 49.8MW Wind Farm Project","Renewables","570190"
"Samsun Landfill Gas to Energy Project Turkey","Supply Chain","852970"
"GS936 Clean Cook Stoves in Sub-Saharan Africa by ClimateCare Limited","Supply Chain",NA
"Nairobi River Basin Biogas Project","Supply Chain","22027"
"Methane Recovery and Utilization at PT. Musim Mas Palm Oil Mill in Pangkalan Lesung Riau Indonesia","Supply Chain",NA
"Killik Wind Power Plant","Renewables","257223"
"Clean and Efficient Cooking and Heating Project China","Supply Chain","1778775"
"Kayaduzu Wind Power Plant Turkey","Renewables","326782"
"VIZARA 8.9MW HYDROELECTRIC POWER PLANT","Renewables",NA
"Los Hierros Hydroelectric Plant","Renewables",NA
"Akres Wind Power ProjectTurkey","Renewables","184770"
"Ayvacik 5.0 MW Wind Power Plant","Renewables",NA
"Kapidag Wind Power Plant","Renewables",NA
"Nam Hong Hydropower Project","Renewables","84553"
"Sares 22.5 MW Wind Power Plant","Renewables","353200"
"Paradigm Healthy Cookstove and Water Treatment Project","Supply Chain","1577010"
"Yinjiang  Rural Methane Digesters Project in Guizhou Province China","Supply Chain",NA
"Mavi HEPP","Renewables",NA
"Balikesir 142.5 MW Wind Power Plant Project","Renewables","1629436"
"Kalecik Hydro Electric Power Plant","Renewables",NA
"Improved Cook Stoves for East Africa (ICSEA) PoA","Supply Chain",NA
"Meru Improved Cook Stoves","Supply Chain","180964"
"Msambweni Improved Cook Stoves","Supply Chain","16261"
"West Kisumu Improved Cook Stoves","Supply Chain","14841"
"Iganga Improved Cook Stoves","Supply Chain",NA
"Accion Fraterna Biogas CDM project for rural communities in Anantapur Andhra Pradesh","Supply Chain","32198"
"SUCATI Hydropower Project","Renewables",NA
"Highveld Air Quality - NFS project","Supply Chain","8377"
"Highveld Air Quality - Emfuleni project","Supply Chain","11589"
"Highveld Air Quality - EMM north project","Supply Chain","41141"
"Highveld Air Quality - EMM central project","Supply Chain","25113"
"Highveld Air Quality - EMM south project","Supply Chain","4034"
"Highveld Air Quality - Sakhile project","Supply Chain","5455"
"Highveld Air Quality - Seme project","Supply Chain","27249"
"Highveld Air Quality - Wesselton project","Supply Chain","30118"
"LAYA Paderu Energy Efficient Woodstoves Project","Supply Chain","52668"
"Yunnan 24000 Rural Household Biogas Carbon Emission Reduction Project","Supply Chain",NA
"Nepal Biogas Support Program - CPA 5: 19842 digesters","Supply Chain",NA
"Nepal Biogas Support Program - CPA 4: 19970 digesters","Supply Chain",NA
"Nepal Biogas Support Program - CPA 3: 19959 digesters","Supply Chain",NA
"Nepal Biogas Support Program - CPA1: 20 000 digesters","Supply Chain",NA
"Nepal Biogas Support Program-PoA","Supply Chain",NA
"7.25 MW wind energy project of Aruppukottai Sri Jayavilas Ltd","Renewables","21704"
"BAESA Project","Renewables","6726799"
"Boiler fuel conversion from Furnace Oil to Bagasse at Biltube Core Boards Ltd","Renewables","47015"
"Conversion to Proteccion of the Amazon Rain Forest","Reforestation",NA
"Inner Mongolia Yihewusu Phase II 49.5 MW Wind Power Project","Renewables","791783"
"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited","Supply Chain","2600983"
"Dogançay Weir and Hydroelectric Power Plant","Renewables",NA
"Yamanli II Hydroelectric Power Plant","Renewables",NA
"Bursa Light Rail System II Phase","Supply Chain","7092"
"Karakus Hydropower Plant, Turkey","Renewables",NA
"Yaprak-II Hydropower Plant, Turkey","Renewables",NA
"Yaprak-I Hydropower Plant, Turkey","Renewables",NA
"Bagasse based Co-generation Power Project at Khatauli","Renewables","92353"
"Umut-III Hydropower Plant, Turkey","Renewables",NA
"Umut-II Hydropower Plant, Turkey","Renewables",NA
"Umut-I Hydropower Plant, Turkey","Renewables",NA
"Basak Hydropower Plant, Turkey","Renewables",NA
"Yamanli III Hydoeletric Power Plant","Renewables",NA
"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited","Reforestation","78003"
"CE TECHNOLOGY FUEL SWITCH FOR CLEANROOM GLOVE INDUSTRY PROJECT, TAIPING","Renewables",NA
"CEMEX USA: ALTERNATIVE FUELS AND BIOMASS PROJECT AT DEMOPOLIS CEMENT PLANT","Renewables",NA
"Wind power project in Tamil Nadu by SWPPL","Renewables","312566"
"Niksar Hydroelectric Power Plant","Renewables","917169"
"6 MW Rice Husk based cogeneration plant at Bhageshwari Papers Private Limited","Renewables","56282"
"Solar Power Plant of 15MW in Gujarat by Palace Solar Energy Private Limited","Renewables","235847"
"Grid Connected Wind Power Project by M/s. D. J. Malpani in Rajasthan","Renewables","47157"
"Grid Connected Wind Power Project by M/s. D. J. Malpani at Ratan Ka Bas (RKB), Rajasthan","Renewables","32638"
"Grid Connected Wind Power Project by M/s Giriraj Enterprises in Madhya Pradesh","Renewables","155319"
"Grid Connected Wind Power Project by M/s. Giriraj Enterprises at Tejuva, Rajasthan","Renewables","58285"
"KVSSSKL Co-generation Power Plant at Satara District, Maharashtra","Renewables",NA
"Solar Power Plant of 5 MW in Rajasthan by Essel Mining and Refex Refrigerants Limited","Renewables","80716"
"IWC BRAZILIAN AMAZON GROUPED REDD APD, AUPD AND BIOMASS TO FUEL PROJECTS","Reforestation",NA
"San Clemente Hydroelectric Power Plant","Renewables","9244"
"San Pedro Hydropower Plant","Renewables",NA
"RIMA Fuel Switch in Bocaiúva","Renewables","134736"
"Fuel Switch to Renewable Biomass for Thermal Use at Metrolina Greenhouses, Inc. Commercial Greenhouse Facility","Renewables","22012"
"Dak Psi 3 and 4 Hydropower Project","Renewables","599719"
"Xundian Jinfeng 12.6MW Hydropower Project","Renewables","295619"
"Hubei Dangyang 25MW Biomass Power Project","Renewables","190748"
"Inner Mongolia Wutaohai South Phase II Wind Power Project","Renewables","324840"
"Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project","Renewables","471336"
"Hillsborough County Waste to Energy (WtE) Facility 2009 Capital Expansion Unit 4","Supply Chain","313359"
"Guazhou Beidaqiao No.1 Wind Farm Project in Gansu Province, China","Renewables","2474798"
"Chile: Hornitos Hydroelectric Project","Renewables","66318"
"AES Saurashtra Windfarms","Renewables","573751"
"Wood waste-to-energy project at Sawmill-25 (Arkhangelsk)","Renewables","27652"
"Inner Mongolia Hangjin Yihewusu Wind Power Project","Renewables","282087"
"OAxaca IV Wind Energy Project","Renewables","590796"
"Oaxaca III Wind Energy Project","Renewables","466501"
"Oaxaca II Wind Energy Project","Renewables","428929"
"Ziqiang 18MW Hydropower Project in Guizhou Province China","Renewables","62780"
"Wind Power Project at Rajkot, Gujarat","Renewables","397790"
"PORTLAND POZZOLANA AND LIMESTONE ""BLENDED CEMENT"" AT LAFARGE CEMENT SYRIA","Supply Chain",NA
"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar","Reforestation",NA
"NATIONAL CARBON TRADING PROJECT FOR WEATHERIZATION OF LOW-INCOME DWELLINGS","Supply Chain",NA
"Heilongjiang Bianfushan Wind Power Project","Renewables","218613"
"Maoshaping Hydro Power Project","Renewables","20487"
"Cermikler 25.00 MW Hydrolectric Power Plant Project","Renewables","188659"
"Heilongjiang Wangyunfeng Wind Power Project","Renewables","286952"
"North Pikounda REDD+","Reforestation","56209"
"FUEL REPLACEMENT WITH WASTE GAS STREAM CONTAINING HYDROGEN AND BIOMASS AT THE CMPC","Supply Chain",NA
"MRO Grouped Wind Projects Phase II","Renewables","17561"
"Reforesting Degraded Lands in Chile through the use of Mycorrhizal Inoculation","Reforestation","1393414"
"CECIC Zhangbei Gaojialiang Wind farm Project.","Renewables","242558"
"Guangxi Qiaogong Hydropower Project","Renewables",NA
"Clean Energy Project in the State of Tamil Nadu","Renewables","28216"
"Cobanli 19.03 MW Hydroelectric Power Plant","Renewables",NA
"Taohua 9MW Hydro Power Project in Guizhou Province, China","Renewables","28975"
"Bethlehem Authority Improved Forest Management Project","Reforestation","265425"
"Kentilux Wind Farm","Renewables","25728"
"FOUM EL OUED WIND FARM PROJECT","Renewables",NA
"Clean energy generation from wind energy in the state of Rajasthan","Renewables","62536"
"Bundle Wind Energy Project in Indian States - EnKing International 2005","Renewables",NA
"HYDROELECTRIC PROJECT ITUANGO","Renewables",NA
"Damlapinar Hydroelectric Power Plant Project","Renewables","312236"
"Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru","Reforestation","4874608"
"Hydroelectric Project El Edén","Renewables","73110"
"8 MW bundled wind power project, proposed by Ghodawat Industries (India) Pvt. Ltd.","Renewables","66698"
"Amatitlan Geothermal Project","Renewables","104344"
"Buenos Aires Ceramic Fuel Switching Project","Renewables","67017"
"Jatropha Agroforestry Senegal","Reforestation","480"
"Cepco Wind Power Project in Rajasthan","Renewables","36721"
"Vaayu India Wind Power Project in Andhra Pradesh","Renewables","18998"
"Clean Energy generation from wind energy in the state of Andhra Pradesh.","Renewables","12096"
"Kohinoor Wind Power Project in Rajasthan","Renewables","21349"
"Manaus Landfill Gas Project","Supply Chain","311911"
"Cerro de Hula Wind Project","Renewables","206105"
"Guangdong Zhanjiang Yangqian 49.5MW Wind Power Project","Renewables","47532"
"Bundled Wind Power Project in Jamnagar, Gujarat","Renewables","30500"
"Tiefa Coal Mine Methane Utilisation for Power Generation Project","Supply Chain","167647"
"Reforestation with Native Species in the Pachijal and Mira River Watersheds for Carbon Retention","Reforestation",NA
"Clean Energy Generation in Gujarat, India","Renewables","188634"
"Efficient Cook Stove Programme: Kenya CPA No. 2 Mathira East District co2balance UK Ltd","Supply Chain","61231"
"Lican Hydroelectric Plant","Renewables","48091"
"Energy efficiency measures in cooling systems at New Tech Park, 151 Lorong Chuan, Singapore","Supply Chain","12966"
"EcoPlanet Bamboo Central America - Reforestation Project","Reforestation","263426"
"Guizhou Tongzihe Yangjiayuan Hydropower Project","Renewables",NA
"Weatherization of single and multi-family dwellings in Virginia","Supply Chain",NA
"4.2 MW Wind Power Project by National Enterprises at Tamil Nadu, India","Renewables","30981"
"Laurelbrook Farm Dairy Manure Advanced Separation Project","Supply Chain","39273"
"8.25 MW Bundled Wind Power Project","Renewables","60801"
"Solar PV power project by Roha Dyechem Pvt.  Ltd. (EKIESL.CDM.Aug-11-02)","Renewables","292522"
"SENA  HYDROELECTRIC POWER PLANT","Renewables","81341"
"SOLAR POWER PROJECT IN GUJARAT, INDIA BY WAA SOLAR LIMITED","Renewables","8234"
"Solar Power Project by Sai Sudhir Energy Limited","Renewables",NA
"Ecomapua Amazon REDD Project","Reforestation","2071291"
"Heishan LN1 Household Biogas Project in Jinzhou, Liaoning Province","Supply Chain",NA
"Renewable Energy Wind Power Project in Rajasthan","Renewables","94113"
"Wind Energy Project in Gujarat","Renewables","78608"
"Anhui Suzhou 2X12.5 MW Biomass Power Generation Project","Renewables","264625"
"Qian'an Wangxin Caizi Town Windfarm Project Phase I","Renewables","151259"
"Waste heat power generation project at Hunan Anshi Xingyuan Power Generation Co., Ltd.","Supply Chain","98712"
"Mani 14 MW Small Hydropower Project","Renewables","366903"
"SANIBEY DAM AND HYDROELECTRIC POWER PLANT","Renewables","4596206"
"BALKODU 1 HYDRO POWER PLANT","Renewables",NA
"Wind Power Project in Tinwari, Rajasthan","Renewables","28095"
"Upgrade of Dominican Power Partners' Los Mina power station from open cycle to combined cycle power generation","Supply Chain","1202884"
"KALE HYDROELECTRIC POWER PLANT","Renewables",NA
"OSMANCIK HYDROELECTRIC POWER PLANT","Renewables",NA
"Sogukpinar Regulator and Hydroelectric Power Plant Project","Renewables",NA
"Koprubasi 14.66 MW HEPP","Renewables",NA
"23.80 MW KIY Regulator and Hydroelectric Power Plant Project","Renewables",NA
"Mithapur Solar Power Project","Renewables","108159"
"Kalealti 15 MW Hydropower Plant, Turkey","Renewables","297373"
"10.5 MW wind mill project of ICF in the state of Tamil Nadu","Renewables",NA
"PER 1 AND PER 2 WIND POWER PLANTS (UMBRELLA PROJECT)","Renewables","189017"
"The Russas Project","Reforestation","1407657"
"The Valparaiso Project","Reforestation","1552925"
"SONAWADE SMALL HYDRO POWER PROJECT","Renewables","155647"
"JARI/AMAPÁ REDD+ PROJECT","Reforestation","2097201"
"St Joseph Sanitary Landfill Gas Collection and Control System","Supply Chain",NA
"ARCELIK ENERGY EFFICIENT REFRIGERATORS GROUPED PROJECT","Supply Chain","305407"
"Suruí Forest Carbon Project","Reforestation","251529"
"RFC Grouped Wind Projects Phase II","Renewables","5110"
"Yunnan Nameguo, Faguo Hydropower stations","Renewables","153561"
"Vaayu India Wind Power Project in Jaisalmer, Rajasthan","Renewables","85813"
"Anhui Guzhen Biomass Generation Project","Renewables","720192"
"April Salumei REDD Project","Reforestation","2175680"
"50.4 MW Wind Power Project by GSFC Ltd.","Renewables",NA
"33 MW Wind Power Project of GSFC Ltd","Renewables",NA
"Carbon Offset Aggregation Cooperative: Reducing GHG Emissions from Industrial Vehicles and Mobile Machinery (Grouped Project)","Supply Chain",NA
"Jilin Liaoyuan 50MW Level Biomass Cogeneration Project","Renewables","1137248"
"Bucakkisla HPP Run-Of-River Hydro Project","Renewables","438602"
"Hangjin Yihewusu Phase I 49.5MW Wind Power Project","Renewables","692208"
"3 MW bundled wind Power Project in Tamil Nadu","Renewables","10859"
"9 MW WIND POWER PROJECT OF KHATAU NARBHERAM & CO. IN TAMIL NADU, INDIA","Renewables",NA
"13.65 MW Wind Power Project of Khatau Narbheram & Co. in Tamil Nadu, India.","Renewables",NA
"Bundled Wind Energy Project in Indian States :- EnKing International 2007","Renewables",NA
